name,n_fichero,n_caracteres,texto,distancia,NER,Name,Partido
102,00000207.jpg.subtitulo.tif.txt,102,gracias a ella un policía murciano aprendió que las únicas tetas peligrosas son las de afrodita a ,112,0,,Desconocido
103,00000214.jpg.subtitulo.tif.txt,114,las odio tendieron un puente de casi 40 años de punk y reivindicación feminista con esta versión de las vulpes ,121,0,,Desconocido
105,00000216.jpg.subtitulo.tif.txt,118,su emisión en 1983 obligó a dimitir a uno de los grandes comunicadores musicales de este país que murió este año ,128,0,,Desconocido
106,00000217.jpg.subtitulo.tif.txt,36,carlos tena pena mucha pena ,101,0,,Desconocido
107,00000220.jpg.subtitulo.tif.txt,53,víctor manuel déjame en paz buenas noches 1983 ,43,0,,Desconocido
108,00000221.jpg.subtitulo.tif.txt,75,ideal para dedicar a todo tipo de salvadores ya salven almas o patrias ,78,0,,Desconocido
109,00000222.jpg.subtitulo.tif.txt,103,ana belén conoció a victor manuel al mismo tiempo que a julio iglesias ésta se la cantó a julio ,91,0,,Desconocido
110,00000226.jpg.subtitulo.tif.txt,43,miguel ríos santa lucía aplauso 1981 ,93,0,,Desconocido
111,00000227.jpg.subtitulo.tif.txt,108, después del éxito del himno de la alegría volvió a petarlo con este himno al pretendiente agonías ,96,0,,Desconocido
112,00000228.jpg.subtitulo.tif.txt,80,y todo esto antes de la primera cita con esto a un coach emocional lo matas ,89,0,,Desconocido
113,00000229.jpg.subtitulo.tif.txt,67,si se llama santa lucía igual es un perfil de tinder falso eh ,78,0,,Desconocido
114,00000233.jpg.subtitulo.tif.txt,39,los rebeldes mescalina 3x4 1986 ,66,0,,Desconocido
115,00000234.jpg.subtitulo.tif.txt,117,la puesta en escena simboliza bien el lugar que ocupó el rockobilly español en la trastienda de la música comercial ,110,0,,Desconocido
116,00000235.jpg.subtitulo.tif.txt,64,hasta el humo de los conciertos tenía que hacerlo el público ,105,0,,Desconocido
117,00000236.jpg.subtitulo.tif.txt,98,los químicos en el estribillo suelen cantar fenilolquilamina alcaloideeee pero queda raro ,89,0,,Desconocido
118,00000241.jpg.subtitulo.tif.txt,58,gabinete caligari sólo se vive una vez la luna 1989 ,92,0,,Desconocido
119,00000242.jpg.subtitulo.tif.txt,73,chico jaime qué pregunta la nochevieja siempre cae el mismo día ,72,0,,Desconocido
120,00000243.jpg.subtitulo.tif.txt,53,la fina línea entre el carpe diem y el alcoholismo ,63,0,,Desconocido
121,00000247.jpg.subtitulo.tif.txt,63,héroes del silencio la sirena varada noches de gala 1993 ,66,0,,Desconocido
122,00000248.jpg.subtitulo.tif.txt,111,bunbury no estuvo en silencio hasta que se le atragantó el humo de los escenarios ahora el héroe ha vuelto ,90,0,,Desconocido
123,00000249.jpg.subtitulo.tif.txt,106,hombre enrique tampoco nos desanimes al personal si acabamos de empezar está animadisima la cosa ,118,0,,Desconocido
125,00000256.jpg.subtitulo.tif.txt,48,tequila me vuelvo loco 600 millones 1979 ,96,0,,Desconocido
