cod_postal,tipo,cod_prov,area_m2,centroide_longitud,centroide_latitud,provincia
44593,indio,44,72615957.67676696,-0.4863204595441533,41.164350411191215,TERUEL
27146,indio,27,41396773.47453478,-7.436916313020499,43.01691097845244,LUGO
44593,indio,44,72615957.67676696,-0.4863204595441533,41.164350411191215,TERUEL
45685,indio,45,20457895.23554042,-4.6336474779499826,39.95599936796054,TOLEDO
28755,indio,28,123372704.99060488,-3.6036996453879873,41.09051922652182,MADRID
09348,indio,09,249695400.2192635,-3.6074905659673653,41.98532998960338,BURGOS
47140,indio,47,31958448.992909756,-4.708500699121245,41.57302245844512,VALLADOLID
49135,indio,49,98597818.2042362,-5.5758384288911085,41.89165283500775,ZAMORA
13450,indio,13,227777604.60483703,-4.3047559045684745,38.614172776716366,CIUDAD REAL
10864,indio,10,19830328.976026155,-6.56590611748838,40.21967022528586,CACERES
40332,indio,40,57209152.70458396,-3.936941959211265,41.389795490939655,SEGOVIA
38379,indio,38,15840064.414116733,-16.44067987863621,28.439179687856686,SANTA CRUZ DE TENERIFE
27666,indio,27,181623969.7153229,-6.96152978304904,42.80053033360934,LUGO
41310,indio,41,34184768.3921103,-5.877161066670491,37.55361278292038,SEVILLA
31283,indio,31,77003274.502471,-2.253985354104848,42.713729545133305,"NAVARRA"
45685,indio,45,20457895.23554042,-4.6336474779499826,39.95599936796054,TOLEDO
34117,indio,34,95017325.681062,-4.74132235321102,42.58945713837512,PALENCIA
37770,indio,37,45900396.808528975,-5.675357793555033,40.546688298342666,SALAMANCA
37863,indio,37,49066348.429570116,-5.495216735239896,40.71809663060422,SALAMANCA
36788,indio,36,10694843.006967366,-8.856462951537452,41.88578218596578,PONTEVEDRA
10330,indio,10,203927039.45841596,-5.204947227793943,39.7192937977902,CACERES
30441,indio,30,295931368.51156825,-2.101865437469973,38.19046784760571,MURCIA
27557,indio,27,81064911.84361732,-7.712015192630172,42.7592504294828,LUGO
38540,indio,38,29588285.00651747,-16.409260944111296,28.37507461649909,SANTA CRUZ DE TENERIFE
08461,indio,08,19274002.028077696,2.4212840252651375,41.71411389970346,BARCELONA
21594,indio,21,155328656.81790566,-7.429469890402028,37.51817349566191,HUELVA
18197,indio,18,10003524.198866637,-3.609494998254251,37.226310348517316,GRANADA
