cod_postal,cod_prov,area_m2,centroide_longitud,centroide_latitud,provincia
46173,46,118181988.69142394,-1.1245767382450151,39.722837292562694,VALENCIA/VALENCIA
25289,25,192840910.40797308,1.365785060639792,42.016949678530665,LLEIDA
10140,10,114519931.55855866,-5.320166926786684,39.449778756207046,CACERES
29009,29,1160292.9007330425,-4.429882871055206,36.72628454278242,MALAGA
08550,08,31434271.96870057,2.211727842676287,41.81841777152346,BARCELONA
03870,03,8293832.686921932,-0.421506952734768,38.70179310965995,ALICANTE/ALACANT
46980,46,27235872.198734883,-0.44920738919670067,39.52108179965062,VALENCIA/VALENCIA
44540,44,362787929.34659725,-0.5627645213271626,41.12221663303333,TERUEL
01207,01,123384301.90022875,-2.3912054549400885,42.82596598367882,ARABA/ALAVA
09251,09,16794148.18580916,-3.2081211626398045,42.636946893690926,BURGOS
12140,12,141943666.7191565,0.01712921576485744,40.373190767723784,CASTELLON/CASTELLO
43782,43,118660219.39417289,0.40038178503008615,41.14776659436485,TARRAGONA
28310,28,74308612.73845726,-3.816229107245113,39.92115872558547,MADRID
50017,50,2506340.8423537025,-0.9132606363255849,41.65141180806344,ZARAGOZA
24277,24,31358361.13626811,-5.857397192800776,42.73267290653475,LEON
23509,23,131242842.43023396,-3.336431388102442,37.92659171728737,JAEN
28229,28,44043072.802823134,-3.968465139774131,40.49042668879167,MADRID
16194,16,158762387.85797915,-2.2725295164889334,40.05622396256616,CUENCA
40135,40,56313481.718518764,-4.508507043020855,40.95866502423163,SEGOVIA
12579,12,120766444.02057193,0.2661474233275909,40.27446636579966,CASTELLON/CASTELLO
49831,49,27555626.524552777,-5.453319135139083,41.674916831286964,ZAMORA
30627,30,125727480.92996664,-1.2140164382529157,38.170208433568376,MURCIA
03420,03,187747157.04648528,-0.6706109283940073,38.5679807099711,ALICANTE/ALACANT
12599,12,256996766.19821832,0.17334001057877227,40.68190725439919,CASTELLON/CASTELLO
28649,28,49859434.89675971,-4.516208732888444,40.30245152344866,MADRID
25300,25,48393313.35055368,1.133664477021492,41.63865594552639,LLEIDA
23339,23,18818839.108871065,-2.9608394227200057,38.21254955636574,JAEN
30332,30,44545989.04312609,-1.1074484257368404,37.74919126704843,MURCIA
28770,28,315440085.7468948,-3.747455411112968,40.6642464401642,MADRID
41600,41,317527667.9193089,-5.573421611754267,37.20059260684282,SEVILLA
18820,18,842567122.4292667,-2.402369552233728,37.92875473409409,GRANADA
44480,44,96768090.59766495,-0.6798599370840226,40.08825149517616,TERUEL
10690,10,99268550.54336724,-6.2783426209013795,39.96372239694806,CACERES
09005,09,933584.3762134016,-3.6960369264213715,42.347880978012746,BURGOS
30877,30,12200909.969709955,-1.3149245485682282,37.574081186541996,MURCIA
33010,33,11586717.73225791,-5.81233032649351,43.37127552321478,ASTURIAS
50163,50,186808260.89737773,-0.5375305962662629,41.68124722582073,ZARAGOZA
17743,17,22481777.480263583,2.8772663320747203,42.26279717515728,GIRONA
38108,38,5543333.727633566,-16.301173638410653,28.451412242788987,SANTA CRUZ DE TENERIFE
36828,36,27178941.593953684,-8.548971769312628,42.41068819162729,PONTEVEDRA
38360,38,8874955.017266948,-16.436307987556283,28.47121395010547,SANTA CRUZ DE TENERIFE
46670,46,16776979.508257221,-0.47239342990672645,39.08159692010671,VALENCIA/VALENCIA
50530,50,45566297.94850288,-1.3760009411304426,41.9157158563534,ZARAGOZA
24398,24,101395462.37721777,-6.486690904749999,42.58614459999989,LEON
37781,37,61603287.57457706,-5.695756226994377,40.75707938671527,SALAMANCA
11579,11,3569407.6763000116,-5.904567290276315,36.67407631586491,CADIZ
17469,17,83418164.71554467,3.009973180578995,42.22960633293146,GIRONA
49361,49,72072640.16045547,-6.709266448270019,42.14405935109532,ZAMORA
12589,12,47506840.9041267,0.35247561791356596,40.467847270041084,CASTELLON/CASTELLO
31190,31,78708372.40039855,-1.7324300996895894,42.76230114008476,"NAVARRA"
28903,28,5658009.508572202,-3.7192230402041537,40.31963813389313,MADRID
45420,45,162479808.117312,-3.8451378810475605,39.802205006770215,TOLEDO
15883,15,100331652.81030431,-8.562982167314535,42.79369770170922,"CORUNA, A"
07142,07,34173294.17182085,2.8342659180225622,39.61872695045764,"BALEARS, ILLES"
17116,17,106886774.35853297,3.000259852015815,41.91126099149965,GIRONA
34248,34,279870689.445763,-4.0323525040057655,41.96323595812098,PALENCIA
23639,23,13933945.599636449,-3.680317166344064,37.9268325386121,JAEN
27637,27,26119790.01280154,-7.402744999527495,42.72481798708536,LUGO
28913,28,1230384.5007575108,-3.7726000245250377,40.333601343977975,MADRID
42150,42,78582518.72384392,-2.7448736741246798,41.887833863097555,SORIA
50786,50,128253836.34662612,-0.3981575920437187,41.430642294605114,ZARAGOZA
36569,36,35237493.38006033,-8.347008537270042,42.505158989310004,PONTEVEDRA
36721,36,4729955.96837616,-8.566054180216236,42.060126602792835,PONTEVEDRA
16433,16,192028926.3423972,-2.580650869920847,39.770200114117195,CUENCA
10670,10,21858489.846545532,-6.2206001101567745,40.041233722221584,CACERES
32930,32,65324188.52137397,-7.948582975463065,42.30929624283109,OURENSE
34478,34,62393590.83061178,-4.47794037628714,42.45458549400275,PALENCIA
33290,33,2903940.9702150933,-5.709220184109037,43.54729236328378,ASTURIAS
29370,29,49870746.01708008,-5.261170433629726,36.70156480404752,MALAGA
13001,13,579130.0136691788,-3.9283693674905633,38.98337731094909,CIUDAD REAL
27892,27,49049862.18767843,-7.361861683412508,43.61502959226038,LUGO
30800,30,22790004.108916342,-1.697311887760767,37.68359259704542,MURCIA
19274,19,36572883.51976786,-3.2111114658856144,41.27999198720254,GUADALAJARA
44564,44,52458320.11046645,-0.2685880550696267,40.849764217777505,TERUEL
37727,37,37156352.18388424,-5.884313029538048,40.34909355754969,SALAMANCA
39520,39,6125200.369428251,-4.290795946867982,43.38280834946083,CANTABRIA
28650,28,117311652.27437298,-4.508364780494319,40.244004609373654,MADRID
14208,14,167656430.5101421,-5.454047357414181,38.4246793000711,CORDOBA
45720,45,171102897.28594407,-3.4788167063813096,39.39970028831561,TOLEDO
27817,27,36925800.736332,-7.606898401405287,43.43956978362163,LUGO
13230,13,238172290.39252135,-3.324692632234428,38.9159333392339,CIUDAD REAL
31383,31,55134193.87426441,-1.5862754325958266,42.32022761560551,"NAVARRA"
06320,06,142331091.49954897,-6.406531162216272,38.330751255605875,BADAJOZ
15705,15,6934551.9001126215,-8.544274132248704,42.89005823934615,"CORUNA, A"
20009,20,7043951.680040166,-1.9886258956336778,43.29942173584166,GIPUZKOA
46513,46,4501658.418136751,-0.24656813371255298,39.71309286227923,VALENCIA/VALENCIA
39110,39,12795146.0894886,-3.892573738148227,43.46495430127947,CANTABRIA
09007,09,36240726.5037144,-3.634586152211558,42.36353086796451,BURGOS
07640,07,62276793.205060124,3.0460291447306136,39.33158786974525,"BALEARS, ILLES"
49134,49,78113158.27608415,-5.491102721711461,41.94541507919908,ZAMORA
47491,47,117350720.78364572,-4.913985141454354,41.437770823495306,VALLADOLID
27389,27,25531350.590153962,-7.773868493427062,43.138679907050495,LUGO
49410,49,103024239.70136346,-5.390282369443823,41.24425619789897,ZAMORA
09002,09,4493181.162846424,-3.685704281010439,42.33861274972223,BURGOS
36545,36,24602770.72064594,-8.225930827623772,42.65733124634583,PONTEVEDRA
06291,06,230765110.93697166,-6.184730848989202,38.162787255765025,BADAJOZ
12002,12,763487.5018361615,-0.04199471108931289,39.98398002111382,CASTELLON/CASTELLO
50341,50,35712337.26567526,-1.6631538512448738,41.22520613716965,ZARAGOZA
41806,41,19875454.144935157,-6.178253557822477,37.344652272287725,SEVILLA
27568,27,106328738.47377704,-7.785351380651863,42.82213745903538,LUGO
33213,33,3040682.9455141053,-5.706511855418139,43.53835854369966,ASTURIAS
49183,49,32762330.064809114,-5.943618626725852,41.5873727160258,ZAMORA
09320,09,136210196.67375192,-3.6866559743425613,42.17212840662857,BURGOS
28730,28,45573803.143666625,-3.627173230797947,40.988408837190846,MADRID
49342,49,23271590.87012574,-6.392291551629158,42.11987734734457,ZAMORA
03530,03,35028955.3368023,-0.12023771122940316,38.60111637814356,ALICANTE/ALACANT
27812,27,36813813.44786957,-7.6368535008188685,43.256994892536866,LUGO
16610,16,50697935.58795814,-2.3288755604161273,39.347726812390754,CUENCA
37624,37,105072969.1242426,-6.130681164049704,40.47850811229569,SALAMANCA
27630,27,24075391.97785166,-7.210822470342369,42.73772186899888,LUGO
35510,35,31224756.620648,-13.653656410942798,28.93498775481577,"PALMAS, LAS"
50293,50,59943171.81954458,-1.7270174357489065,41.32864336037628,ZARAGOZA
15167,15,7654771.613470431,-8.24448902692369,43.33589990311582,"CORUNA, A"
28220,28,20109251.487292215,-3.9007916281696886,40.483307123061756,MADRID
37007,37,12268666.31189172,-5.693808573919148,40.96828326681667,SALAMANCA
25141,25,72884343.26571693,0.8095114071031558,41.58371794165169,LLEIDA
39587,39,85952433.14570886,-4.70534899785706,43.16761201751159,CANTABRIA
46113,46,10371504.533595158,-0.3926530535381407,39.54838236457099,VALENCIA/VALENCIA
46790,46,27942591.054978322,-0.2258144006722334,39.013180974726744,VALENCIA/VALENCIA
24323,24,74023624.7253142,-5.250624117628677,42.33181205933509,LEON
09145,09,118084542.58719885,-3.787971749902293,42.808481456368554,BURGOS
20580,20,19278328.609159537,-2.39725728386372,43.1538140588548,GIPUZKOA
33418,33,21970597.77771599,-5.904654699034469,43.606443234909364,ASTURIAS
31485,31,20976731.439305104,-1.4973679136213924,42.81178137221745,"NAVARRA"
44460,44,235671543.24777645,-0.8594329051758003,40.1362961707317,TERUEL
46716,46,3365323.01512525,-0.16931407742946414,38.9340101774984,VALENCIA/VALENCIA
27142,27,19452932.33267735,-7.387275057565393,43.01370000938598,LUGO
04810,04,275113998.4495024,-2.297372895265652,37.45440925042002,ALMERIA
31510,31,121835760.82473834,-1.4431164830938885,42.03410320733907,"NAVARRA"
25793,25,225341685.17358878,1.239517526318122,42.14913791304418,LLEIDA
16622,16,104306773.48240554,-2.417079731569263,39.6147207080522,CUENCA
43559,43,102742044.00326133,0.3910471800822918,40.63888228998708,TARRAGONA
22422,22,47631788.23869093,0.2691106958190125,42.00866121211973,HUESCA
31008,31,2926630.828596239,-1.6669043739849345,42.80891261539558,"NAVARRA"
19432,19,289717463.32790136,-2.4405746195992717,40.842118294533236,GUADALAJARA
44233,44,130011105.19342917,-1.5687467340547465,40.88249918268621,TERUEL
15560,15,18907235.53197223,-8.073382363842205,43.53445230782837,"CORUNA, A"
32523,32,57111285.83806324,-8.20613335621651,42.45152880272107,OURENSE
19198,19,46828263.16669764,-3.1241051723011375,40.712220698530764,GUADALAJARA
07749,07,53516267.240564294,4.0379307567473175,39.94333793979068,"BALEARS, ILLES"
32654,32,40293239.461951256,-7.872875791379381,42.05759288024576,OURENSE
19002,19,17699693.246640608,-3.1676175578860897,40.614746355930784,GUADALAJARA
24275,24,91874449.91564454,-5.761379465552343,42.72151570879152,LEON
08640,08,29814625.36569317,1.9014821864212579,41.55369138640445,BARCELONA
32137,32,38816467.981880516,-7.998583342992992,42.52524004986417,OURENSE
23560,23,164120237.14396954,-3.4377646685509293,37.62325016751041,JAEN
32751,32,53231542.7512137,-7.4861828758675255,42.28220855906315,OURENSE
05520,05,130408150.40780494,-4.896787761982091,40.63048051831586,AVILA
33189,33,51935322.08150384,-5.705941776759431,43.4337419860681,ASTURIAS
26510,26,58142065.59052187,-2.0361673283348187,42.3279213622996,"RIOJA, LA"
15113,15,54699755.60994587,-8.851810249911065,43.3133162981174,"CORUNA, A"
24237,24,114079775.5375476,-5.577563054657805,42.26769786349538,LEON
46901,46,66549635.1077302,-0.5319301631168226,39.40845334578686,VALENCIA/VALENCIA
26151,26,14014452.622648587,-2.2519359378855275,42.42957221071658,"RIOJA, LA"
22281,22,39747518.03168836,-0.7678490077986082,41.972229138204995,HUESCA
28330,28,180711130.0872479,-3.5616338755875887,40.24314534331467,MADRID
18713,18,42812285.68856229,-3.258537669611839,36.78380962182295,GRANADA
34407,34,237713702.36822787,-4.448708759150699,42.5932855657681,PALENCIA
46017,46,8595366.662053928,-0.39540054085347975,39.442591740762985,VALENCIA/VALENCIA
50313,50,93527593.305632025,-1.7067873119616808,41.47736698609637,ZARAGOZA
08185,08,19904685.374212228,2.2310009896710885,41.58767297036395,BARCELONA
50237,50,75664254.0438532,-1.8975765506750657,41.19317536838996,ZARAGOZA
43746,43,336772577.3961745,0.7244727937679676,41.013576991056794,TARRAGONA
07180,07,25725821.58876368,2.4879846806573154,39.507037449771396,"BALEARS, ILLES"
32003,32,1449537.3485479876,-7.864959918294306,42.343198403361974,OURENSE
33186,33,11018418.574220419,-5.705073011898933,43.36042098489828,ASTURIAS
08262,08,21850647.852802843,1.78387686340259,41.79995093657572,BARCELONA
01206,01,172524475.8431272,-2.491788305777222,42.89762066662265,ARABA/ALAVA
49154,49,47606373.55842626,-5.473355721432101,41.34240845117368,ZAMORA
37300,37,40232477.82274341,-5.212058040334034,40.90136294630723,SALAMANCA
25639,25,116939017.86355521,0.9301876947455284,42.071442686552246,LLEIDA
46440,46,18007194.507326134,-0.4114623283257329,39.29701338213039,VALENCIA/VALENCIA
50347,50,53687479.2701906,-1.602259243284535,41.159770522393195,ZARAGOZA
24744,24,125565813.90896821,-6.518672446705789,42.32906073803978,LEON
36446,36,22451092.784314692,-8.38483691062623,42.09827612915159,PONTEVEDRA
48508,48,16513965.844540317,-3.0924264538158437,43.34834253235096,BIZKAIA
27413,27,51022720.76140715,-7.396800555737908,42.484916148042004,LUGO
06650,06,335561593.1599226,-5.076783037580569,38.97947899800549,BADAJOZ
49011,49,110253.94441716745,-5.739161121483995,41.51106344774924,ZAMORA
41890,41,144102517.47322652,-6.320734858935109,37.669903533231455,SEVILLA
46195,46,92916239.78182001,-0.5923633031014882,39.29520881829491,VALENCIA/VALENCIA
39009,39,1470728.4799864534,-3.81707913784617,43.453603874421894,CANTABRIA
01306,01,10959978.994914874,-2.5704463372839403,42.494685280987866,ARABA/ALAVA
12310,12,68194557.51215045,-0.21233839876982213,40.65717431422129,CASTELLON/CASTELLO
08392,08,21249786.812781304,2.483885066324482,41.57761563625792,BARCELONA
40440,40,7628774.284583668,-4.406424843504135,41.06912117011795,SEGOVIA
46511,46,7353977.117180008,-0.2757264553524528,39.7243368148105,VALENCIA/VALENCIA
50003,50,8205515.580462154,-0.9068049791279316,41.66790031218112,ZARAGOZA
07100,07,30058087.37114524,2.706746551957499,39.76319168797525,"BALEARS, ILLES"
08798,08,12656613.923395932,1.7549105317137907,41.35884049926154,BARCELONA
46870,46,206793780.54752705,-0.6552295958258996,38.81270648826984,VALENCIA/VALENCIA
25551,25,90232448.0743816,0.713865478437168,42.740419170712755,LLEIDA
49850,49,43624351.54545441,-5.359785609970389,41.622871923029656,ZAMORA
11368,11,18514865.68685174,-5.419142107293333,36.23515869711041,CADIZ
33317,33,37205306.775249615,-5.384139382590802,43.467000873536534,ASTURIAS
39210,39,386530563.2613549,-4.292147067709868,43.04066567123273,CANTABRIA
38130,38,4694598.8284573145,-16.21578853276047,28.56026993241716,SANTA CRUZ DE TENERIFE
14860,14,24220928.889907487,-4.369226785381014,37.55288691765243,CORDOBA
44380,44,97764028.7096718,-1.2430124683824613,40.52473835055928,TERUEL
30814,30,287613698.585034,-1.712005779837377,37.81035730584672,MURCIA
33344,33,11804776.91917227,-5.181110950197005,43.46573768227548,ASTURIAS
12100,12,53380687.224558614,0.001083512869663385,39.98607252614604,CASTELLON/CASTELLO
30880,30,9612686.247392558,-1.5811822852396762,37.41010734345203,MURCIA
31370,31,211266940.2121905,-1.8100034989805962,42.419709062781465,"NAVARRA"
46210,46,12058724.090607896,-0.4362326751787407,39.43395904307665,VALENCIA/VALENCIA
44440,44,88698541.53790897,-0.8974482347492059,40.33900610607701,TERUEL
15569,15,56200691.102179214,-7.934656383041609,43.60672075521542,"CORUNA, A"
48800,48,42121658.81466038,-3.2107457550976495,43.194519890110655,BIZKAIA
30360,30,13466051.31903781,-0.8784334694062944,37.619551251407096,MURCIA
10210,10,223212735.82922554,-5.7341873147489695,39.45384990018091,CACERES
17750,17,48635287.88282375,2.907911518038786,42.37147378363456,GIRONA
27836,27,151824038.57343015,-7.7200232656426575,43.48647455552332,LUGO
33760,33,2956761.2192140818,-7.028061790792605,43.527782486408405,ASTURIAS
14290,14,163861748.25244576,-5.420875938231081,38.29762851659669,CORDOBA
43897,43,18127612.796683535,0.5639333837913276,40.757195166342164,TARRAGONA
36655,36,18490355.040897727,-8.634480380314335,42.585490170374285,PONTEVEDRA
08650,08,118364292.95029353,1.9061083216393364,41.83228070220988,BARCELONA
13431,13,21847459.722729236,-3.972875008195795,38.84945497048105,CIUDAD REAL
27693,27,52742546.57885915,-7.309995172298609,42.81875130592126,LUGO
11638,11,19080223.618527986,-5.767247067367737,36.76311001878163,CADIZ
46294,46,22698527.386223763,-0.5854452569396763,39.059222972058365,VALENCIA/VALENCIA
47470,47,99895502.7743414,-5.103018685030597,41.20314437693048,VALLADOLID
16550,16,236723417.8940067,-2.6669017358869747,40.0619678773078,CUENCA
16612,16,116272346.63249862,-2.3816295790373863,39.29566008037596,CUENCA
22770,22,61032025.26903026,-0.8589341807968733,42.59981288065414,HUESCA
37596,37,38857081.25936823,-6.360147514283105,40.572894516948786,SALAMANCA
46180,46,42820245.8153894,-0.6168687915947536,39.5939771871305,VALENCIA/VALENCIA
38710,38,21031945.273358993,-17.803556222312217,28.64388005009053,SANTA CRUZ DE TENERIFE
28822,28,7235054.179091174,-3.550702441248831,40.418100937233376,MADRID
17707,17,59014485.928885594,2.8347775003310893,42.40570743903784,GIRONA
10839,10,44011341.22857728,-6.422450922702006,39.92792331451118,CACERES
40216,40,77650561.09413834,-4.442312069476263,41.34455613133203,SEGOVIA
49155,49,105532435.3713149,-5.391902570584102,41.33387237912668,ZAMORA
44132,44,93818801.24209084,-1.2269904396899487,40.152982336400534,TERUEL
15230,15,31485724.50418167,-8.936069924635488,42.849587273243785,"CORUNA, A"
46230,46,40204307.15018751,-0.4639121639246953,39.25992955521767,VALENCIA/VALENCIA
48381,48,45603936.98067485,-2.5979786520462556,43.258779571919554,BIZKAIA
27841,27,23272311.129975498,-7.595913546928269,43.29963949049509,LUGO
46759,46,6779384.8199941255,-0.3676469996636411,39.02225348818253,VALENCIA/VALENCIA
18611,18,33542783.39632468,-3.601961882022701,36.79195215887459,GRANADA
